Section,Class Number,Open Seats,Total Seats,Reserved Seats,Percent,Timestamp
SEM Section 01,9116,15,15,No,0.0,2021-07-10 11:45:52.592680
SEM Section 03,10178,18,18,No,0.0,2021-07-10 11:45:52.592698
SEM Section 01,6621,1,18,No,94.44444444444444,2021-07-10 11:45:52.592707
Lecture Section 01,9142,5,12,No,58.333333333333336,2021-07-10 11:45:52.592715
SEM Section 01,5751,7,18,No,61.111111111111114,2021-07-10 11:45:52.592722
PRC Section 01P,5755,16,18,No,11.11111111111111,2021-07-10 11:45:52.592730
SEM Section 01,5744,15,15,No,0.0,2021-07-10 11:45:52.592737
SEM Section 03,7598,15,18,No,16.666666666666664,2021-07-10 11:45:52.592745
IND Section 01,2140,1,1,No,0.0,2021-07-10 11:45:52.592752
IND Section 01,2141,1,1,No,0.0,2021-07-10 11:45:52.592759
IND Section 02,2142,1,1,No,0.0,2021-07-10 11:45:52.592767
IND Section 03,2143,1,1,No,0.0,2021-07-10 11:45:52.592773
IND Section 04,2144,1,1,No,0.0,2021-07-10 11:45:52.592780
SEM Section 01,8683,10,10,No,0.0,2021-07-10 11:45:52.592787
SEM Section 01,5650,18,18,No,0.0,2021-07-10 11:45:52.592795
IND Section 01,2145,1,1,No,0.0,2021-07-10 11:45:52.592801
IND Section 02,2146,1,1,No,0.0,2021-07-10 11:45:52.592808
IND Section 03,2147,1,1,No,0.0,2021-07-10 11:45:52.592815
SEM Section 01,9116,15,15,No,0.0,2021-07-10 11:53:23.888709
SEM Section 03,10178,18,18,No,0.0,2021-07-10 11:53:23.888729
SEM Section 01,6621,1,18,No,94.44444444444444,2021-07-10 11:53:23.888738
Lecture Section 01,9142,5,12,No,58.333333333333336,2021-07-10 11:53:23.888746
SEM Section 01,5751,7,18,No,61.111111111111114,2021-07-10 11:53:23.888754
PRC Section 01P,5755,16,18,No,11.11111111111111,2021-07-10 11:53:23.888762
SEM Section 01,5744,15,15,No,0.0,2021-07-10 11:53:23.888769
SEM Section 03,7598,15,18,No,16.666666666666664,2021-07-10 11:53:23.888777
IND Section 01,2140,1,1,No,0.0,2021-07-10 11:53:23.888785
IND Section 01,2141,1,1,No,0.0,2021-07-10 11:53:23.888792
IND Section 02,2142,1,1,No,0.0,2021-07-10 11:53:23.888801
IND Section 03,2143,1,1,No,0.0,2021-07-10 11:53:23.888809
IND Section 04,2144,1,1,No,0.0,2021-07-10 11:53:23.888816
SEM Section 01,8683,10,10,No,0.0,2021-07-10 11:53:23.888823
SEM Section 01,5650,18,18,No,0.0,2021-07-10 11:53:23.888831
IND Section 01,2145,1,1,No,0.0,2021-07-10 11:53:23.888838
IND Section 02,2146,1,1,No,0.0,2021-07-10 11:53:23.888845
IND Section 03,2147,1,1,No,0.0,2021-07-10 11:53:23.888852
SEM Section 01,9116,15,15,No,0.0,2021-07-10 12:01:42.046469
SEM Section 03,10178,18,18,No,0.0,2021-07-10 12:01:42.046488
SEM Section 01,6621,1,18,No,94.44444444444444,2021-07-10 12:01:42.046497
Lecture Section 01,9142,5,12,No,58.333333333333336,2021-07-10 12:01:42.046505
SEM Section 01,5751,7,18,No,61.111111111111114,2021-07-10 12:01:42.046513
PRC Section 01P,5755,16,18,No,11.11111111111111,2021-07-10 12:01:42.046520
SEM Section 01,5744,15,15,No,0.0,2021-07-10 12:01:42.046528
SEM Section 03,7598,15,18,No,16.666666666666664,2021-07-10 12:01:42.046535
IND Section 01,2140,1,1,No,0.0,2021-07-10 12:01:42.046543
IND Section 01,2141,1,1,No,0.0,2021-07-10 12:01:42.046550
IND Section 02,2142,1,1,No,0.0,2021-07-10 12:01:42.046558
IND Section 03,2143,1,1,No,0.0,2021-07-10 12:01:42.046565
IND Section 04,2144,1,1,No,0.0,2021-07-10 12:01:42.046572
SEM Section 01,8683,10,10,No,0.0,2021-07-10 12:01:42.046580
SEM Section 01,5650,18,18,No,0.0,2021-07-10 12:01:42.046587
IND Section 01,2145,1,1,No,0.0,2021-07-10 12:01:42.046594
IND Section 02,2146,1,1,No,0.0,2021-07-10 12:01:42.046601
IND Section 03,2147,1,1,No,0.0,2021-07-10 12:01:42.046608
